version,optimizer,batch_size,epochs,test_loss,test_accuracy
geom_V1,adam,64,200,0.1585344821214676,0.96787828207016
geom_V2,adam,16,80,0.1691057980060577,0.9644970297813416
geom_V3,adam,32,100,0.214842289686203,0.9594252109527588
geom_V4,adam,16,80,0.2009562999010086,0.9611157774925232
geom_V5,adam,64,200,0.2308184206485748,0.963651716709137
phys,Nadam,64,100,0.1797542124986648,0.96787828207016
