version,optimizer,batch_size,epochs,test_loss,test_accuracy
geom_V1,adam,64,100,0.1441654562950134,0.9594252109527588
geom_V2,RMSprop,64,80,0.1511633098125457,0.9577345848083496
geom_V3,RMSprop,128,80,0.1696263551712036,0.948436200618744
geom_V4,RMSprop,64,100,0.155250683426857,0.956889271736145
geom_V5,RMSprop,32,200,0.1596699506044387,0.9492815136909484
phys,adam,128,100,0.1569125205278396,0.965342342853546
