epoch,accuracy,loss,val_accuracy,val_loss
0,0.46139904856681824,1.85594642162323,0.6852791905403137,1.1706466674804688
1,0.6536788940429688,1.1005980968475342,0.7690355181694031,0.7535101175308228
2,0.7453787326812744,0.8036366701126099,0.873942494392395,0.5137643218040466
3,0.8176875710487366,0.6037560701370239,0.9179357290267944,0.3641831576824188
4,0.8486770391464233,0.4971311390399933,0.9255499243736267,0.28294646739959717
5,0.8832910656929016,0.396503210067749,0.9221658110618591,0.27552369236946106
6,0.8939833045005798,0.35534363985061646,0.9314720630645752,0.21219374239444733
7,0.8972454071044922,0.32437723875045776,0.9357022047042847,0.1937936246395111
8,0.9026821255683899,0.30047833919525146,0.9348561763763428,0.18235425651073456
9,0.9095686674118042,0.27919650077819824,0.9450084567070007,0.17556343972682953
10,0.9168176651000977,0.26121482253074646,0.9373942613601685,0.16323518753051758
11,0.919898509979248,0.24665983021259308,0.9467005133628845,0.15320679545402527
12,0.9233418107032776,0.23205871880054474,0.9492385983467102,0.14949950575828552
13,0.9247915744781494,0.2263735830783844,0.9543147087097168,0.13597042858600616
14,0.9300470948219299,0.21086104214191437,0.9534686803817749,0.13774026930332184
15,0.9338528513908386,0.20081156492233276,0.9483925700187683,0.13617344200611115
16,0.9356650710105896,0.1951414942741394,0.9467005133628845,0.1443658173084259
17,0.9329467415809631,0.18741390109062195,0.9467005133628845,0.12820489704608917
18,0.9347589612007141,0.1956447958946228,0.9492385983467102,0.12948043644428253
19,0.9380210041999817,0.178789421916008,0.952622652053833,0.12979787588119507
20,0.9438202381134033,0.17733144760131836,0.961082935333252,0.11329410970211029
21,0.9411018490791321,0.16767269372940063,0.962774932384491,0.10923294723033905
22,0.9423704147338867,0.17332814633846283,0.9602369070053101,0.11392192542552948
23,0.9427328705787659,0.16740792989730835,0.962774932384491,0.10272954404354095
24,0.9454512596130371,0.15654289722442627,0.950930655002594,0.11726903170347214
25,0.9427328705787659,0.16075953841209412,0.9585448503494263,0.10981588810682297
26,0.9454512596130371,0.1594497561454773,0.9593908786773682,0.10910479724407196
27,0.949256956577301,0.14993949234485626,0.9568527936935425,0.10701433569192886
28,0.9461761713027954,0.1581779569387436,0.9585448503494263,0.12311924248933792
29,0.9456324577331543,0.1552107334136963,0.9619289636611938,0.10306399315595627
30,0.9443638920783997,0.14953626692295074,0.9602369070053101,0.10836150497198105
31,0.9503443241119385,0.14752401411533356,0.9593908786773682,0.10887156426906586
32,0.9467198252677917,0.14899852871894836,0.961082935333252,0.10529080033302307
33,0.9519753456115723,0.14183469116687775,0.9678511023521423,0.1043882966041565
34,0.9483508467674255,0.1453499048948288,0.9534686803817749,0.116709865629673
35,0.9543312788009644,0.1336575597524643,0.9661590456962585,0.1018444299697876
